millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
382,1,3.001472,0,0.000000,3.001472
411,1,3.001472,0,0.000000,3.001472
431,2,5.222974,1,0.000000,3.722238
491,3,7.404538,1,0.000000,5.903802
503,3,7.404538,1,0.000000,5.903802
853,4,10.136508,0,0.000000,10.136508
1012,4,10.136508,0,0.000000,10.136508
1072,4,10.136508,1,0.000000,7.915006
1192,4,10.136508,2,0.000000,7.123505
1291,5,13.086604,3,0.000000,7.822874
1371,5,13.086604,3,0.000000,7.822874
1433,5,13.086604,2,0.000000,9.422355
1452,5,13.086604,3,0.000000,9.422355
1473,6,13.667826,2,0.000000,10.934261
1520,6,13.667826,2,0.000000,10.934261
1520,7,14.042035,1,0.000000,11.233628
1652,7,14.042035,1,0.000000,11.233628
1811,8,17.191645,0,0.000000,17.191645
2020,8,17.191645,0,0.000000,17.191645
2062,9,18.837221,1,0.000000,18.743669
2181,10,21.328700,1,0.000000,21.235147
2231,10,21.328700,1,0.000000,21.235147
2241,11,22.988712,2,0.000000,21.320355
2271,11,22.988712,2,0.000000,21.320355
2302,11,22.988712,1,0.000000,21.413907
2430,11,22.988712,0,0.000000,22.988712
2542,12,26.269696,1,0.000000,25.688474
2601,12,26.269696,1,0.000000,25.688474
2622,13,26.696873,2,0.000000,23.504087
2702,13,26.696873,2,0.000000,23.504087
2710,13,26.696873,1,0.000000,24.027186
2773,13,26.696873,0,0.000000,26.696873
2952,13,26.696873,1,0.000000,21.357499
3152,13,26.696873,2,0.000000,21.357499
3152,14,27.198355,2,0.000000,21.758684
3262,14,27.198355,3,0.000000,21.102487
3433,14,27.198355,2,0.000000,21.102487
3502,14,27.198355,1,0.000000,26.378109
3531,14,27.198355,0,0.000000,27.198355
3762,15,28.122173,1,0.000000,27.908584
3883,15,28.122173,1,0.000000,27.908584
3912,16,28.183100,0,0.000000,28.183100
3960,17,31.884147,0,0.000000,31.884147
3972,17,31.884147,0,0.000000,31.884147
4052,18,32.439727,1,0.000000,31.938245
4163,18,32.439727,1,0.000000,31.938245
4181,18,32.439727,2,0.000000,28.744421
4252,18,32.439727,1,0.000000,29.195754
4311,19,35.679457,2,0.000000,25.689209
4402,19,35.679457,2,0.000000,25.689209
4463,19,35.679457,1,0.000000,28.543566
4522,19,35.679457,0,0.000000,35.679457
4522,19,35.679457,2,0.000000,28.432450
4531,20,35.968810,2,0.000000,28.663932
4622,20,35.968810,2,0.000000,28.663932
4710,20,35.968810,3,0.000000,27.368040
4802,20,35.968810,2,0.000000,34.210050
4971,21,38.786309,1,0.000000,37.166444
5182,21,38.786309,1,0.000000,37.166444
5302,22,42.671544,2,0.000000,40.762326
5302,22,42.671544,2,0.000000,40.762326
5402,22,42.671544,1,0.000000,42.382191
5422,22,42.671544,0,0.000000,42.671544
5642,23,43.327096,1,0.000000,38.994387
5652,24,44.467241,1,0.000000,40.020517
5732,24,44.467241,1,0.000000,40.020517
5956,24,44.467241,1,0.000000,35.573793
6003,25,45.278788,1,0.000000,36.223030
6092,25,45.278788,1,0.000000,36.223030
6132,25,45.278788,2,0.000000,36.223030
6232,25,45.278788,3,0.000000,35.445983
6400,25,45.278788,2,0.000000,35.445983
6602,25,45.278788,1,0.000000,44.307479
6642,26,46.090782,0,0.000000,46.090782
6811,26,46.090782,0,0.000000,46.090782
7452,27,47.592647,1,0.000000,47.186873
7562,27,47.592647,1,0.000000,47.186873
7603,27,47.592647,2,0.000000,46.374880
7791,27,47.592647,1,0.000000,46.780653
8062,28,51.056633,0,0.000000,51.056633
8423,28,51.056633,0,0.000000,51.056633
8532,28,51.056633,1,0.000000,45.950970
8743,29,52.381527,2,0.000000,37.714699
8861,29,52.381527,2,0.000000,37.714699
8932,30,55.414343,1,0.000000,44.331474
9041,31,59.052572,1,0.000000,47.242058
9052,31,59.052572,1,0.000000,47.242058
9172,31,59.052572,2,0.000000,47.242058
9252,32,60.308069,1,0.000000,48.246455
9282,32,60.308069,1,0.000000,48.246455
9501,32,60.308069,0,0.000000,60.308069
9761,33,60.404057,1,0.000000,59.645853
9872,34,62.591499,1,0.000000,61.833295
9972,35,64.433082,1,0.000000,63.674878
10021,35,64.433082,1,0.000000,63.674878
10021,35,64.433082,1,0.000000,63.674878
10151,36,67.621662,3,0.000000,62.856901
10211,36,67.621662,3,0.000000,62.856901
10211,36,67.621662,3,0.000000,62.856901
10222,36,67.621662,4,0.000000,45.802875
10333,36,67.621662,6,0.000000,45.228931
10362,36,67.621662,5,0.000000,46.803889
10473,36,67.621662,7,0.000000,46.700223
10502,37,67.817371,6,0.000000,48.150896
10692,38,69.192172,6,0.000000,49.140753
10790,38,69.192172,6,0.000000,49.140753
10941,38,69.192172,5,0.000000,54.600836
10961,38,69.192172,4,0.000000,49.209864
11003,38,69.192172,6,0.000000,49.209864
11032,38,69.192172,5,0.000000,49.209864
11092,38,69.192172,4,0.000000,49.244419
11182,38,69.192172,3,0.000000,49.818364
11192,38,69.192172,2,0.000000,55.353738
11282,38,69.192172,4,0.000000,55.314596
11372,38,69.192172,3,0.000000,55.314596
11372,38,69.192172,3,0.000000,53.664835
11402,38,69.192172,4,0.000000,53.664835
11492,39,71.430468,3,0.000000,69.319339
11532,39,71.430468,3,0.000000,69.319339
11550,40,72.912237,2,0.000000,71.488509
11591,40,72.912237,2,0.000000,71.488509
