millis, featureCount, featuresVal, problemCount, problemsVal, totalVal
830,1,1.000000,0,1.000000,1.000000
831,2,2.000000,0,1.000000,2.000000
1576,3,3.000000,2,0.967333,2.809002
1577,4,4.000000,3,0.936334,3.745336
1697,4,4.000000,4,0.936334,3.745336
1697,4,4.000000,3,0.936334,3.871817
1816,4,4.000000,2,0.967954,3.871817
1816,4,4.000000,1,0.967954,4.000000
2566,5,5.000000,0,1.000000,5.000000
2566,6,6.000000,1,0.968534,5.811204
3306,7,7.000000,2,0.968534,6.570085
3307,8,8.000000,3,0.938584,7.508669
3415,8,8.000000,4,0.938584,7.508669
3416,8,8.000000,3,0.938584,7.752612
3526,8,8.000000,2,0.969077,7.752612
3527,8,8.000000,1,1.000000,8.000000
4256,9,9.000000,0,1.000000,8.726264
4257,10,10.000000,1,0.969585,9.695849
4977,11,11.000000,2,0.969585,10.346131
4977,12,12.000000,3,0.940557,11.286688
5086,12,12.000000,4,0.940557,11.286688
5087,12,12.000000,2,0.970062,11.640743
5196,12,12.000000,2,0.970062,11.640743
5197,12,12.000000,0,1.000000,12.000000
5906,13,13.000000,0,1.000000,12.616634
5907,14,14.000000,1,0.970510,13.587145
6607,15,15.000000,2,0.970510,14.134498
6607,16,16.000000,3,0.942300,15.076798
6707,16,16.000000,3,0.942300,15.076798
6707,16,16.000000,2,0.970932,15.534918
6806,16,16.000000,2,0.970932,15.534918
6806,16,16.000000,0,1.000000,16.000000
7495,17,17.000000,0,1.000000,16.512612
7496,18,18.000000,2,0.971330,17.483942
8176,19,19.000000,2,0.971330,17.933089
8177,20,20.000000,3,0.943847,18.876935
8276,20,20.000000,3,0.943847,18.876935
8276,20,20.000000,2,0.971705,19.434109
8376,20,20.000000,1,0.971705,19.434109
8377,20,20.000000,0,1.000000,20.000000
9046,21,21.000000,0,1.000000,20.413261
9047,22,22.000000,1,0.972060,21.385321
9717,23,23.000000,2,0.972060,21.740213
9717,24,24.000000,3,0.945227,22.685440
9815,24,24.000000,3,0.945227,22.685440
9816,24,24.000000,2,0.972395,23.337489
9906,24,24.000000,1,0.972395,23.337489
9906,24,24.000000,0,1.000000,24.000000
10566,25,25.000000,0,1.000000,24.317821
10566,26,26.000000,2,0.972713,25.290534
11216,27,27.000000,2,0.972713,25.554500
11216,28,28.000000,4,0.946463,26.500963
11306,28,28.000000,3,0.946463,26.500963
11307,28,28.000000,2,0.973014,27.244385
11396,28,28.000000,1,0.973014,27.244385
11396,28,28.000000,0,1.000000,28.000000
12036,29,29.000000,1,0.973299,28.225675
12037,30,30.000000,2,0.973299,29.198974
12677,31,31.000000,3,0.947575,29.374823
12677,32,32.000000,4,0.947575,30.322398
12767,32,32.000000,3,0.947575,30.322398
12767,32,32.000000,2,0.973570,31.154243
12856,32,32.000000,1,0.973570,31.154243
12857,32,32.000000,0,1.000000,32.000000
13486,33,33.000000,1,0.973828,32.136310
13487,34,34.000000,2,0.973828,33.110138
14107,35,35.000000,3,0.948579,33.200251
14107,36,36.000000,4,0.948579,34.148830
14197,36,36.000000,3,0.948579,34.148830
14197,36,36.000000,2,0.974072,35.066608
14287,36,36.000000,1,0.974072,35.066608
14287,36,36.000000,0,1.000000,36.000000
14896,37,37.000000,1,0.974305,36.049302
14897,38,38.000000,2,0.974305,37.023608
15506,39,39.000000,3,0.949487,37.030008
15507,40,40.000000,4,0.949487,37.979495
15587,40,40.000000,3,0.949487,37.979495
15587,40,40.000000,2,0.974527,38.981096
15666,40,40.000000,1,0.974527,38.981096
15667,40,40.000000,0,1.000000,40.000000
16266,41,41.000000,1,0.974739,39.964296
16267,42,42.000000,2,0.974739,40.939034
16867,43,43.000000,3,0.950313,40.863441
16867,44,44.000000,4,0.950313,41.813753
16946,44,44.000000,3,0.950313,41.813753
16946,44,44.000000,2,0.974941,42.897388
17026,44,44.000000,1,0.974941,42.897388
17026,44,44.000000,0,1.000000,44.000000
17617,45,45.000000,1,0.975133,43.880990
17617,46,46.000000,2,0.975133,44.856124
18196,47,47.000000,2,0.951064,44.700000
18197,48,48.000000,3,0.951064,45.651064
18276,48,48.000000,3,0.951064,45.651064
18277,48,48.000000,2,0.975317,46.815212
18356,48,48.000000,1,0.975317,46.815212
18356,48,48.000000,0,1.000000,48.000000
18936,49,49.000000,0,1.000000,47.799133
18936,50,50.000000,1,0.975493,48.774626
19506,51,51.000000,2,0.975493,48.539219
19507,52,52.000000,3,0.951749,49.490969
19587,52,52.000000,3,0.951749,49.490969
19587,52,52.000000,2,0.975660,50.734339
19667,52,52.000000,1,0.975660,50.734339
19667,52,52.000000,0,1.000000,52.000000
20236,53,53.000000,0,1.000000,51.718508
20236,54,54.000000,1,0.975821,52.694329
20796,55,55.000000,2,0.975821,52.380700
20797,56,56.000000,4,0.952376,53.333076
20876,56,56.000000,3,0.952376,53.333076
20876,56,56.000000,2,0.975975,54.654574
20957,56,56.000000,1,0.975975,54.654574
20957,56,56.000000,1,0.975975,56.000000
21516,57,57.000000,0,1.000000,55.638931
21516,58,58.000000,1,0.976122,56.615053
22067,59,59.000000,3,0.952951,56.224101
22067,60,60.000000,4,0.952951,57.177052
22136,60,60.000000,3,0.952951,57.177052
22137,60,60.000000,2,0.976262,58.575747
22205,60,60.000000,1,0.976262,58.575747
22205,60,60.000000,0,1.000000,60.000000
22756,61,61.000000,0,1.000000,59.560243
22757,62,62.000000,1,0.976397,60.536640
23296,63,63.000000,2,0.976397,60.069131
23296,64,64.000000,4,0.953478,61.022609
23365,64,64.000000,3,0.953478,61.022609
23365,64,64.000000,2,0.976527,62.497716
23436,64,64.000000,1,0.976527,62.497716
23436,64,64.000000,0,1.000000,64.000000
23976,65,65.000000,1,0.976651,63.482308
23977,66,66.000000,1,0.976651,64.458958
24507,67,67.000000,2,0.976651,63.915535
24507,68,68.000000,4,0.953963,64.869498
24576,68,68.000000,3,0.953963,64.869498
24576,68,68.000000,2,0.976770,66.420355
24645,68,68.000000,1,0.976770,66.420355
24646,68,68.000000,0,1.000000,68.000000
25176,69,69.000000,0,1.000000,67.405007
25177,70,70.000000,2,0.976884,68.381891
25705,71,71.000000,3,0.954410,67.763096
25705,72,72.000000,4,0.954410,68.717506
25775,72,72.000000,3,0.954410,68.717506
25776,72,72.000000,3,0.954410,70.343556
25846,72,72.000000,2,0.976994,70.343556
25846,72,72.000000,1,0.976994,70.343556
26367,73,73.000000,0,1.000000,73.000000
26367,74,74.000000,1,0.977099,72.305338
26886,75,75.000000,2,0.977099,71.611624
26887,76,76.000000,3,0.954822,72.566446
26955,76,76.000000,4,0.954822,72.566446
26956,76,76.000000,3,0.954822,74.267227
27025,76,76.000000,2,0.977200,74.267227
27025,76,76.000000,1,0.977200,76.000000
27546,77,77.000000,0,1.000000,77.000000
27547,78,78.000000,1,0.977298,76.229213
28056,79,79.000000,2,0.977298,77.206511
28057,80,80.000000,3,0.955202,76.416157
28126,80,80.000000,4,0.955202,76.416157
28126,80,80.000000,3,0.955202,78.191287
28195,80,80.000000,2,0.977391,78.191287
28196,80,80.000000,1,0.977391,80.000000
28706,81,81.000000,0,1.000000,79.175959
28707,82,82.000000,1,0.977481,80.153440
29207,83,83.000000,2,0.977481,79.310945
29207,84,84.000000,3,0.955554,80.266499
29275,84,84.000000,4,0.955554,80.266499
29276,84,84.000000,3,0.955554,82.115664
29345,84,84.000000,2,0.977567,82.115664
29346,84,84.000000,1,0.977567,84.000000
29846,85,85.000000,0,1.000000,85.000000
29846,86,86.000000,1,0.977651,84.077952
30347,87,87.000000,2,0.977651,85.055603
30347,88,88.000000,3,0.955879,84.117350
30416,88,88.000000,4,0.955879,84.117350
30417,88,88.000000,3,0.955879,86.040298
30486,88,88.000000,2,0.977731,86.040298
30487,88,88.000000,1,0.977731,88.000000
30986,89,89.000000,0,1.000000,89.000000
30987,90,90.000000,1,0.977808,88.002694
31476,91,91.000000,2,0.977808,87.012422
31477,92,92.000000,3,0.956180,87.968603
31546,92,92.000000,4,0.956180,87.968603
31546,92,92.000000,3,0.956180,89.965135
31616,92,92.000000,2,0.977882,89.965135
31616,92,92.000000,1,0.977882,92.000000
32106,93,93.000000,0,1.000000,93.000000
32106,94,94.000000,1,0.977953,91.927615
32597,95,95.000000,2,0.977953,92.905568
32597,96,96.000000,3,0.956460,91.820165
32666,96,96.000000,4,0.956460,91.820165
32666,96,96.000000,3,0.956460,93.890128
32736,96,96.000000,2,0.978022,93.890128
32736,96,96.000000,1,0.978022,96.000000
33216,97,97.000000,0,1.000000,97.000000
33216,98,98.000000,1,0.978088,95.852670
33696,99,99.000000,2,0.978088,96.830759
33696,100,100.000000,3,0.956720,95.671956
33755,100,100.000000,4,0.956720,95.671956
33755,100,100.000000,3,0.956720,97.815237
33816,100,100.000000,2,0.978152,97.815237
33817,100,100.000000,1,0.978152,100.000000
34296,101,101.000000,0,1.000000,101.000000
34297,102,102.000000,1,0.978214,99.777824
34776,103,103.000000,2,0.978214,98.566944
34776,104,104.000000,3,0.956961,99.523905
34836,104,104.000000,4,0.956961,99.523905
34836,104,104.000000,3,0.956961,101.740426
34895,104,104.000000,2,0.978273,101.740426
34896,104,104.000000,1,0.978273,104.000000
35366,105,105.000000,0,1.000000,105.000000
35367,106,106.000000,1,0.978331,103.703041
35836,107,107.000000,2,0.978331,104.681371
35836,108,108.000000,3,0.957185,103.375950
35895,108,108.000000,4,0.957185,103.375950
35896,108,108.000000,3,0.957185,105.665664
35957,108,108.000000,2,0.978386,105.665664
35957,108,108.000000,1,0.978386,105.665664
36426,109,109.000000,0,1.000000,106.649854
36426,110,110.000000,1,0.978439,107.628293
36896,111,111.000000,2,0.978439,108.606733
36897,112,112.000000,3,0.957393,107.228039
36955,112,112.000000,4,0.957393,107.228039
36956,112,112.000000,3,0.957393,109.590925
37015,112,112.000000,2,0.978490,109.590925
37016,112,112.000000,1,0.978490,112.000000
37487,113,113.000000,0,1.000000,110.575016
37487,114,114.000000,1,0.978540,111.553556
37946,115,115.000000,2,0.978540,110.122537
37946,116,116.000000,3,0.957587,111.080124
38005,116,116.000000,4,0.957587,111.080124
38005,116,116.000000,3,0.957587,113.516185
38065,116,116.000000,2,0.978588,113.516185
38066,116,116.000000,1,0.978588,116.000000
38526,117,117.000000,0,1.000000,117.000000
38526,118,118.000000,1,0.978634,115.478808
38986,119,119.000000,2,0.978634,116.457442
38987,120,120.000000,3,0.957768,114.932166
39045,120,120.000000,4,0.957768,114.932166
39045,120,120.000000,3,0.957768,117.441423
39105,120,120.000000,2,0.978679,117.441423
39106,120,120.000000,1,0.978679,120.000000
39567,121,121.000000,0,1.000000,121.000000
39567,122,122.000000,1,0.978722,119.404029
40026,123,123.000000,2,0.978722,120.382751
40026,124,124.000000,3,0.957937,118.784129
40087,124,124.000000,4,0.957937,118.784129
40087,124,124.000000,3,0.957937,121.366623
